taskWeight,taskStartValue,taskDoneValue,taskState,userId,okrId
2,122,193,REACHED,5,9
1,139,450,UNREACHED,10,7
2,194,294,REACHED,10,10
3,159,314,INPROGRESS,3,2
2,23,134,UNREACHED,12,9
1,152,397,REACHED,9,2
3,158,398,INPROGRESS,14,4
3,137,360,UNREACHED,10,6
2,225,233,INPROGRESS,7,4
4,21,40,INPROGRESS,4,1
1,80,216,REACHED,11,6
4,55,334,INPROGRESS,13,9
2,209,335,UNREACHED,6,2
2,8,417,INPROGRESS,11,6
4,131,256,UNREACHED,16,2
2,120,157,UNREACHED,14,6
5,158,220,UNREACHED,15,6
2,136,306,UNREACHED,19,9
2,174,276,UNREACHED,3,5
3,239,335,UNREACHED,6,5
3,145,338,REACHED,18,4
3,239,356,UNREACHED,9,1
4,21,113,UNREACHED,13,6
1,223,326,UNREACHED,16,4
4,142,321,UNREACHED,12,9
3,246,340,UNREACHED,7,5
2,57,223,INPROGRESS,16,8
5,124,332,UNREACHED,14,1
5,53,384,REACHED,12,3
4,185,335,INPROGRESS,12,3
2,84,456,UNREACHED,18,9
3,12,273,INPROGRESS,3,7
2,116,281,INPROGRESS,19,4
4,48,301,INPROGRESS,14,10
3,14,127,REACHED,19,8
4,174,437,UNREACHED,20,8
4,209,468,REACHED,19,2
2,217,250,REACHED,7,6
5,6,282,REACHED,15,2
2,184,416,INPROGRESS,19,3
5,50,202,UNREACHED,7,8
3,212,367,REACHED,7,7
5,164,307,INPROGRESS,8,8
2,96,190,UNREACHED,7,7
2,53,133,UNREACHED,13,4
3,250,399,INPROGRESS,13,10
2,150,416,INPROGRESS,2,3
4,32,472,INPROGRESS,10,4
3,39,454,UNREACHED,18,5
5,0,137,INPROGRESS,9,7
5,198,263,REACHED,14,10
3,151,263,INPROGRESS,15,2
2,13,459,REACHED,11,6
4,190,254,REACHED,18,1
1,156,332,INPROGRESS,11,7
4,48,440,REACHED,4,1
2,66,427,INPROGRESS,8,3
3,65,91,UNREACHED,6,7
3,29,487,INPROGRESS,10,1
5,201,220,REACHED,8,8
5,69,115,INPROGRESS,13,10
5,95,444,REACHED,6,2
4,56,176,INPROGRESS,1,6
3,121,323,REACHED,5,5
3,206,297,INPROGRESS,11,4
3,24,118,UNREACHED,4,10
2,3,209,UNREACHED,15,6
4,158,210,REACHED,2,1
4,249,385,REACHED,5,8
5,246,485,INPROGRESS,17,9
5,117,353,UNREACHED,12,9
5,222,349,UNREACHED,19,1
3,15,166,UNREACHED,8,2
1,90,394,REACHED,8,4
3,173,274,INPROGRESS,8,3
3,158,481,UNREACHED,1,4
4,164,346,UNREACHED,20,4
2,115,211,UNREACHED,12,5
2,174,374,REACHED,10,5
4,176,248,INPROGRESS,6,3
4,219,465,REACHED,13,3
3,235,400,INPROGRESS,20,8
4,63,389,UNREACHED,11,4
4,117,390,UNREACHED,8,7
1,157,282,UNREACHED,6,7
3,158,448,UNREACHED,2,1
3,164,497,INPROGRESS,9,7
5,9,387,REACHED,17,9
1,31,450,REACHED,15,8
1,33,256,UNREACHED,1,10
4,108,405,INPROGRESS,9,7
1,190,436,UNREACHED,7,9
1,247,252,INPROGRESS,11,5
2,108,239,INPROGRESS,8,4
1,15,19,REACHED,4,4
4,28,76,UNREACHED,6,3
1,212,236,REACHED,3,4
1,151,274,REACHED,20,1
4,180,349,UNREACHED,9,7
2,4,61,REACHED,4,5
4,222,400,REACHED,8,2
2,127,238,INPROGRESS,7,5
1,101,340,UNREACHED,6,4
2,232,481,INPROGRESS,18,5
3,28,360,UNREACHED,6,9
2,18,178,UNREACHED,8,7
4,206,401,INPROGRESS,7,1
3,67,220,INPROGRESS,20,6
5,201,380,REACHED,12,8
3,12,202,INPROGRESS,15,7
5,184,391,REACHED,17,7
4,136,216,UNREACHED,6,1
4,248,296,REACHED,1,4
4,199,408,UNREACHED,6,3
3,132,426,INPROGRESS,7,9
4,171,270,REACHED,1,10
2,121,493,INPROGRESS,7,10
2,180,441,INPROGRESS,8,2
5,155,339,UNREACHED,4,8
5,250,416,INPROGRESS,11,3
4,248,374,REACHED,3,7
2,28,301,INPROGRESS,6,3
4,71,424,REACHED,20,4
2,179,484,REACHED,11,3
1,117,251,REACHED,6,1
4,39,442,UNREACHED,11,4
1,1,338,UNREACHED,16,6
1,54,187,INPROGRESS,8,7
3,78,105,REACHED,2,5
5,182,350,INPROGRESS,13,6
1,193,420,INPROGRESS,2,2
5,147,462,REACHED,2,5
2,155,395,INPROGRESS,20,9
4,5,438,INPROGRESS,1,7
2,210,255,INPROGRESS,16,10
4,111,467,UNREACHED,9,5
5,46,336,UNREACHED,17,3
1,85,241,UNREACHED,3,3
4,37,444,UNREACHED,7,7
3,174,365,UNREACHED,18,5
2,183,188,REACHED,9,10
1,177,261,INPROGRESS,14,2
3,208,285,UNREACHED,10,7
2,161,276,INPROGRESS,4,7
4,35,478,REACHED,2,1
4,66,363,UNREACHED,18,5
1,242,366,REACHED,11,4
3,181,239,INPROGRESS,14,2
2,118,257,UNREACHED,9,10
4,31,463,UNREACHED,13,7
3,246,410,INPROGRESS,15,3
2,234,394,INPROGRESS,8,8
3,133,414,UNREACHED,12,5
3,19,337,INPROGRESS,3,5
1,132,462,REACHED,1,6
1,160,185,REACHED,7,2
2,72,384,REACHED,4,2
4,178,224,UNREACHED,2,6
3,72,257,UNREACHED,16,1
4,40,84,UNREACHED,2,7
3,87,201,REACHED,18,6
3,123,364,INPROGRESS,19,5
4,142,412,UNREACHED,20,8
3,173,313,REACHED,3,2
4,170,463,REACHED,9,10
5,87,181,INPROGRESS,6,8
1,209,292,UNREACHED,14,4
5,73,243,UNREACHED,10,6
3,6,155,REACHED,7,2
2,40,87,INPROGRESS,15,3
1,135,186,INPROGRESS,20,5
1,47,95,REACHED,11,9
4,151,406,UNREACHED,6,3
5,208,249,UNREACHED,19,3
5,8,127,INPROGRESS,5,9
2,214,353,REACHED,20,7
2,46,400,UNREACHED,3,4
2,13,19,UNREACHED,3,10
5,129,336,INPROGRESS,10,6
2,45,130,UNREACHED,13,6
2,157,353,UNREACHED,20,2
4,21,263,UNREACHED,2,7
4,216,430,UNREACHED,16,10
3,94,499,UNREACHED,17,5
2,168,315,REACHED,19,3
5,196,335,UNREACHED,8,9
2,114,208,INPROGRESS,3,10
2,156,470,REACHED,3,3
5,49,424,UNREACHED,5,3
5,37,204,INPROGRESS,3,3
3,47,273,REACHED,12,10
4,1,68,UNREACHED,8,5
1,111,209,INPROGRESS,11,8
1,115,473,INPROGRESS,20,5
5,250,409,INPROGRESS,13,1
3,18,464,UNREACHED,2,6
1,200,212,REACHED,18,9
4,35,85,UNREACHED,15,1
2,228,269,INPROGRESS,19,8
4,192,299,INPROGRESS,20,4
4,149,449,REACHED,10,8
5,182,258,UNREACHED,17,9
5,176,210,REACHED,1,6
3,93,360,UNREACHED,6,8
5,71,193,INPROGRESS,18,7
2,32,151,REACHED,18,3
1,25,470,REACHED,6,2
2,174,178,UNREACHED,19,6
3,152,310,INPROGRESS,6,8
5,149,412,UNREACHED,14,4
5,217,447,INPROGRESS,16,1
5,239,440,UNREACHED,8,7
5,199,400,REACHED,2,9
1,234,400,UNREACHED,6,7
1,171,330,INPROGRESS,17,3
5,2,111,INPROGRESS,16,7
3,221,264,REACHED,8,4
2,165,193,REACHED,11,9
4,75,227,REACHED,4,6
3,199,474,REACHED,6,7
4,121,314,INPROGRESS,20,6
1,29,111,REACHED,20,2
